grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
241218A,00:08:51,1275005,185.687,29.984,2.1,23.31,5.5,1.0,0.6,0.2,"1.31, PL",0.26,0.63797957,0.0,Swift BAT,
241213A,02:19:00,1274039,116.163,35.269,1.0,10.3,41,1.0,10.3,0.06,"1.26, PL",0.06,0.6759763,0.0,Swift BAT,
241128A,16:14:34,1270999,273.724,33.492,2.4,238.32,11,2.0,1.0,0.2,"1.54, PL",0.31,0.48860267,0.0,Swift BAT,
241127A,21:43:16,1270788,327.911,-56.652,1.7,26.02,6.5,0.8,2.3,0.2,"1.10, CPL",1.01,0.8131747,310.0,Swift BAT,
241113A,07:48:13,1267501,16.578,-22.658,1.6,1.7,1.3,0.2,1.4,0.2,"1.76, PL",0.23,0.3782021,0.0,Swift BAT,
241101A,05:41:45,1264304,204.323,28.233,1.3,10.3,5.1,0.4,1.4,0.1,"1.79, PL",0.13,0.3651952,0.0,Swift BAT,
241030B,18:34:20,1263840,50.787,34.439,1.7,6.7,12,1.0,3.2,0.6,"1.40, PL",0.16,0.5748147,0.0,Swift BAT,
241030A,05:48:03,1263718,343.216,80.438,1.1,173.3,273,4.0,11.8,0.3,"1.64, PL",0.03,0.4349564,0.0,Swift BAT,
241026A,22:42:32,1262764,293.425,57.996,1.2,25.2,25,2.0,4.0,0.5,"1.56, PL",0.12,0.47737595,0.0,Swift BAT,
241010A,10:05:14,1259578,153.367,11.544,1.1,30.86,20,1.0,4.3,0.2,"1.88, PL",0.08,0.3287646,0.0,Swift BAT,
241006A,21:51:58,1258721,304.782,-40.806,1.8,47.95,10,1.0,0.6,0.2,"1.52, PL",0.19,0.5000895,0.0,Swift BAT,
241002A,00:50:22,1257556,140.942,39.829,1.0,46.81,21,1.0,1.7,0.2,"2.02, PL",0.10,0.27910155,0.0,Swift BAT,
240912A,01:46:39,1253910,124.625,33.999,1.0,113.24,450,0.0,15.8,0.5,"1.43, CPL",0.11,0.55516154,343.0,Swift BAT,
240829A,03:56:28,1251252,143.079,-18.687,1.7,43.20,38,3.0,0.0,0.3,"1.66, PL",0.11,0.42494592,0.0,Swift BAT,
240825A,15:52:59,1250617,344.57,1.019,1.0,57.20,250,4.0,100.0,1.7,"1.20, PL",0.03,0.72452325,0.0,Swift BAT,
240824A,01:03:25,1250282,213.176,63.735,1.4,39.47,13,1.0,0.7,0.2,"1.30, PL",0.14,0.64540666,0.0,Swift BAT,
240811A,14:07:33,1248132,226.328,28.884,1.8,66.32,30,1.0,2.9,0.3,"1.71, PL",0.08,0.40090278,0.0,Swift BAT,
240809A,08:30:29,1247745,237.545,-2.331,1.0,72.86,97,2.0,12.8,0.4,"1.17, PL",0.05,0.7500686,0.0,Swift BAT,
