Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
105,8.685e-07,1.0887e-08,1.3209e-06,1.4368e-08,2.0468e-06,1.7931e-07,1.0321e-06,1.7931e-07,131.1,2.64,-0.4977,0.0655,-2.983,0.103,0.1637,0.0125,12.761,0.544,3.84,11.857,0.265,3.84,9.937,0.123,4.16,1.792,0.202,2.304,5.184,0.181,0.512
108,8.2861e-09,6.0599e-09,1.4947e-08,5.2203e-09,3.1987e-08,1.2363e-08,1.4604e-06,4.2317e-07,3536.0,5.22,-1.026,1.13,-2.103,52.8,0.0005495,0.000369,0.812,0.238,0.0,0.439,0.107,0.128,0.112,0.048,0.768,1.28,1.574,-0.96,3.136,0.59,-1.536
109,4.4255e-06,3.9649e-08,7.308e-06,4.9525e-08,1.7653e-05,1.2098e-07,2.9537e-05,9.0307e-07,636.1,113.0,-0.9459,0.0609,-1.851,0.12,0.01945,0.000945,3.777,0.354,34.368,3.62,0.173,34.56,3.35,0.084,35.072,47.104,0.143,14.912,90.176,0.286,4.224
110,4.5034e-07,3.6621e-08,4.6726e-07,4.0653e-08,1.7766e-06,1.4014e-07,4.0053e-07,7.0827e-07,283.5,157.0,-1.396,0.291,-4.104,64.5,0.00308,0.0008,0.475,0.218,0.0,0.478,0.107,0.192,0.367,0.052,0.32,306.368,3.304,-196.096,430.016,1.094,-259.584
111,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,93.78,12.4,-0.3506,0.793,-2.713,0.365,0.02286,0.0239,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88,41.728,0.63,2.88,98.176,2.262,-14.848
130,3.1859e-06,3.0566e-08,4.885e-06,3.7336e-08,1.3484e-05,1.0646e-07,1.7184e-05,7.932e-07,337.9,35.6,-0.9832,0.0743,-2.324,0.18,0.02395,0.00151,3.926,0.369,12.096,3.468,0.178,12.16,2.816,0.083,12.224,33.792,0.143,12.928,61.952,0.5,2.816
138,6.7073e-09,2.2032e-09,1.7829e-08,3.0396e-09,5.8935e-08,7.4537e-09,5.276e-08,6.3551e-08,297.2,150.0,-0.04891,0.936,-2.73,2.75,0.001993,0.00138,1.107,0.253,0.256,0.722,0.114,0.32,0.364,0.052,0.32,0.218,0.009,0.006,0.315,0.023,-0.045
143,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,711.5,15.0,-0.5359,0.0123,-2.09,0.0305,0.2789,0.00213,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88,6.72,0.143,2.112,50.816,0.202,1.024
160,5.1678e-07,1.9274e-08,8.3949e-07,1.7863e-08,3.0642e-06,5.3497e-08,4.3976e-07,2.2696e-07,209.2,14.0,-0.3812,0.145,-3.022,0.493,0.02722,0.00359,4.21,0.411,13.952,3.0,0.188,15.744,2.584,0.089,13.952,8.384,0.405,6.016,17.024,1.374,0.064
171,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,125.6,20.6,-1.029,0.539,-3.193,1.77,0.008672,0.0048,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472,12.864,0.41,1.664,24.768,4.401,-1.92
179,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,182.3,8.9,-0.6944,0.104,-4.795,6.67,0.02396,0.00241,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304,3.2,0.202,1.536,7.232,0.181,-0.192
204,1.4705e-08,6.5476e-09,5.5198e-08,8.2568e-09,5.3717e-07,2.2567e-08,1.4911e-06,2.2728e-07,453.8,68.8,0.5105,0.34,-2.954,1.07,0.003737,0.000553,0.708,0.233,1.152,0.674,0.114,1.024,0.513,0.056,1.344,20.288,4.544,0.896,62.656,1.548,-0.64
207,4.0862e-09,1.8969e-09,8.4507e-09,2.1974e-09,5.8126e-08,6.0817e-09,3.3352e-07,1.1754e-07,1022.0,9.6,-0.7274,2.19,-1.129,0.408,0.0004696,0.000736,2.836,0.371,0.0,1.025,0.151,0.128,0.198,0.067,0.768,0.042,0.005,-0.024,0.085,0.003,-0.028
211,3.6627e-07,2.5008e-08,3.9705e-07,2.7062e-08,7.5491e-07,5.3728e-08,0.0,4.3362e-07,449.3,138.0,-0.6819,0.241,-7.629,3.79,0.004068,0.00068,0.7,0.242,2.176,0.507,0.116,2.24,0.466,0.057,2.944,203.84,4.299,-184.32,292.736,1.28,-239.616
